epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.137,1.73,2.23108,1.54006,0.23925,0.35483,0.18562,0.08052,2.12454,2.39615,2.15356,0.00041606,0.00041606,0.00041606
2,263.198,1.52755,1.75405,1.40696,0.46115,0.40077,0.36916,0.16626,1.848,2.12743,1.84293,0.000816239,0.000816239,0.000816239
3,390.383,1.45588,1.64235,1.36426,0.42061,0.38809,0.32355,0.14934,1.9237,2.27876,1.89872,0.00119992,0.00119992,0.00119992
4,534.246,1.41622,1.57116,1.34132,0.48184,0.39487,0.42166,0.19404,1.65046,1.85399,1.72455,0.00117575,0.00117575,0.00117575
5,678.209,1.36478,1.50063,1.30857,0.45004,0.57371,0.40271,0.19805,1.70362,1.79063,1.74434,0.001151,0.001151,0.001151
6,811.67,1.31955,1.45055,1.28686,0.58235,0.4921,0.4753,0.24902,1.56757,1.62922,1.6109,0.00112625,0.00112625,0.00112625
7,931.587,1.28492,1.39722,1.26046,0.53154,0.41047,0.45279,0.23411,1.59529,1.80428,1.6202,0.0011015,0.0011015,0.0011015
8,1062.84,1.25151,1.356,1.2449,0.68298,0.36991,0.51148,0.28026,1.57264,1.63789,1.60352,0.00107675,0.00107675,0.00107675
9,1197.32,1.22779,1.31904,1.22968,0.65835,0.44526,0.52228,0.23635,1.61405,1.60765,1.71008,0.001052,0.001052,0.001052
10,1360.95,1.21808,1.30168,1.22454,0.55763,0.4551,0.46486,0.24153,1.55383,1.51076,1.63591,0.00102725,0.00102725,0.00102725
11,1482.32,1.20405,1.274,1.21852,0.52804,0.53702,0.53443,0.27399,1.5572,1.48386,1.61053,0.0010025,0.0010025,0.0010025
12,1602.54,1.17121,1.25207,1.2022,0.70461,0.50525,0.59714,0.3175,1.47259,1.43655,1.54021,0.00097775,0.00097775,0.00097775
13,1733.16,1.1624,1.23365,1.19546,0.75688,0.51159,0.59737,0.32865,1.43894,1.39492,1.52374,0.000953,0.000953,0.000953
14,1853.74,1.15694,1.21553,1.19631,0.77034,0.44673,0.57654,0.28612,1.51249,1.41995,1.56787,0.00092825,0.00092825,0.00092825
15,1974.92,1.13376,1.18874,1.18432,0.73721,0.52494,0.60362,0.34927,1.40312,1.33017,1.47195,0.0009035,0.0009035,0.0009035
16,2116.77,1.12839,1.17563,1.1801,0.77334,0.50935,0.62094,0.32973,1.42989,1.37957,1.51596,0.00087875,0.00087875,0.00087875
17,2259.72,1.11873,1.16841,1.17415,0.72171,0.57887,0.63507,0.32389,1.4892,1.38835,1.54252,0.000854,0.000854,0.000854
18,2404.41,1.10411,1.14507,1.16608,0.69522,0.4971,0.58967,0.32861,1.39693,1.33512,1.45725,0.00082925,0.00082925,0.00082925
19,2550.46,1.09895,1.13406,1.15741,0.69022,0.54359,0.60244,0.34872,1.41666,1.38621,1.47266,0.0008045,0.0008045,0.0008045
20,2696.37,1.0871,1.12525,1.15471,0.65563,0.58433,0.61828,0.33423,1.47852,1.37189,1.49513,0.00077975,0.00077975,0.00077975
21,2841.46,1.07634,1.11374,1.1469,0.7747,0.54625,0.64954,0.37229,1.35451,1.25214,1.43045,0.000755,0.000755,0.000755
22,2987.39,1.07289,1.10147,1.14406,0.86013,0.53204,0.65439,0.3828,1.36719,1.28568,1.45231,0.00073025,0.00073025,0.00073025
23,3132.63,1.06147,1.08678,1.13868,0.76503,0.52729,0.63685,0.3551,1.35326,1.24765,1.44191,0.0007055,0.0007055,0.0007055
24,3278.14,1.05311,1.08416,1.13914,0.76752,0.57183,0.67945,0.39649,1.32265,1.23334,1.40682,0.00068075,0.00068075,0.00068075
25,3423.64,1.04591,1.06554,1.13308,0.67543,0.62348,0.67196,0.38286,1.28236,1.19857,1.39573,0.000656,0.000656,0.000656
26,3558.02,1.03793,1.05586,1.12481,0.7414,0.57463,0.66814,0.37376,1.31712,1.24389,1.40306,0.00063125,0.00063125,0.00063125
27,3678.96,1.02894,1.0481,1.12485,0.78329,0.56608,0.67125,0.39541,1.32587,1.22862,1.41494,0.0006065,0.0006065,0.0006065
28,3810.61,1.02988,1.04797,1.12454,0.75136,0.68197,0.72485,0.40825,1.32332,1.19327,1.39735,0.00058175,0.00058175,0.00058175
29,3954.3,1.01666,1.03104,1.11872,0.8495,0.56232,0.70131,0.41017,1.28843,1.14749,1.3826,0.000557,0.000557,0.000557
30,4097.42,1.01353,1.03239,1.11782,0.7348,0.60685,0.68623,0.4041,1.27314,1.14202,1.37053,0.00053225,0.00053225,0.00053225
